"Reference","Qty","Value","Footprint","Package","DNP","Exclude from BOM","Datasheet","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Value 2M","Description"
"R1,R4","2","NA(200R/1%/R0402)","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","DNP","","","RC0402FR-07200RL","","","","DNP - Res 200R 1% 0402 - Yageo"
"R2,R3,R6,R10","4","0R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402JR-070RL","","","","Res 0R Jumper 5% 0402 - Yageo"
"R5","1","4.7R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-074R7L","","","","Res 4.7R 1% 0402 - Yageo"
"R7,R17,R18,R25,R26,R27,R66,R76","8","2.2k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-072K2L","","","","Res 2.2k 1% 0402 - Yageo"
"R8,R19,R28,R45,R53,R57","6","10k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-0710KL","","","","Res 10k 1% 0402 - Yageo"
"R9","1","NA(0R/R0402)","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","DNP","","","RC0402JR-070RL","","","","DNP - Res 0R Jumper 0402 - Yageo"
"R14,R16,R21,R49","4","NA(10k/R0402)","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","DNP","","","RC0402FR-0710KL","","","10k/R0402","DNP - Res 10k 1% 0402 - Yageo"
"R20,R36,R46,R50,R51,R59","6","100R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-07100RL","","","","Res 100R 1% 0402 - Yageo"
"R22","1","200R/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-07200RL","","","","Res 200R 1% 0402 - Yageo"
"R23","1","22k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","0402","DNP","","","RC0402FR-0722KL","","","","Resistor, small symbol"
"R24","1","50k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","0402","DNP","","","RC0402JR-0750KL","","","","Resistor, small symbol"
"R29","1","18.2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","0402","DNP","","","RC0402FR-0718K2L","","","","Resistor, small symbol"
"R30,R32","2","33","New_Libary:R_0402_5MIL_DWS","0402","","","","RC0402FR-0733RL","","","","Res 33R 1% 0402 - Yageo"
"R33,R34","2","1.5k","New_Libary:R_0402_5MIL_DWS","0402","","","","RC0402FR-071K5L","","","","Res 1.5k 1% 0402 - Yageo"
"R35","1","2.2k","New_Libary:R_0402_5MIL_DWS","0402","","","","RC0402FR-072K2L","","","","Res 2.2k 1% 0402 - Yageo"
"R31,R54,R58","3","22R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-0722RL","","","","Res 22R 1% 0402 - Yageo"
"R47,R48","2","NA(22R/R0402)","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","DNP","","","RC0402FR-0722RL","","","","DNP - Res 22R 1% 0402 - Yageo"
"R52","1","NA(100R/R0402)","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","DNP","","","RC0402FR-07100RL","","","","DNP - Res 100R 1% 0402 - Yageo"
"R55,R56","2","27R/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-0727RL","","","","Res 27R 1% 0402 - Yageo"
"R60","1","3.32k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-073K32L","","","","Res 3.32k 1% 0402 - Yageo"
"R61","1","4.7k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-074K7L","","","","Res 4.7k 1% 0402 - Yageo"
"R62,R63,R69,R70","4","100k/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-07100KL","","","","Res 100k 1% 0402 - Yageo"
"R64,R65","2","1.05k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-071K05L","","","","Res 1.05k 1% 0402 - Yageo"
"R67","1","20k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-0720KL","","","","Res 20k 1% 0402 - Yageo"
"R68,R71,R72","3","10k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-0710KL","","","","Res 10k 1% 0402 - Yageo"
"R73","1","1k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-071KL","","","","Res 1k 1% 0402 - Yageo"
"R74,R75","2","5.1k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","CRCW04025K10FKED","","","","Res 5.1k 1% USB-C CC 0402 - Vishay Dale"
"R77","1","6.04k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-076K04L","","","","Res 6.04k 1% 0402 - Yageo"
"R78","1","2k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-072KL","","","","Res 2k 1% 0402 - Yageo"
"R79","1","3.01k/1%/R0402","OLIMEX_RLC-FP:R_0402_5MIL_DWS","0402","","","","RC0402FR-073K01L","","","","Res 3.01k 1% 0402 - Yageo"
"R80,R81","2","5.1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","0402","","","","CRCW04025K10FKED","","","","Res 5.1k 1% 0402 - Vishay Dale"
"RM1,RM2","2","RA1206_(4x0603)_4B8_10k","OLIMEX_RLC-FP:RA1206_(4X0603)_4B8_xx","1206-Array","","","","YC164-JR-0710KL","","","","Res Array 4x10k 5% 1206 - Yageo"
"RM3","1","NA(RA1206_(4x0603)_4B8_10k)","OLIMEX_RLC-FP:RA1206_(4X0603)_4B8_xx","1206-Array","DNP","","","YC164-JR-0710KL","","","RA1206_(4x0603)_4B8_10k","DNP - Res Array 4x10k 5% 1206 - Yageo"
"U1","1","CCGM1A1(FBGA-324)","OLIMEX_IC-FP:FBGA-324_P0.8mm_Pad0.4mm_Ball0.45mm_Dim15.00x15.00x1.20mm","FBGA-324","","","https://colognechip.com/docs/ds1001-gatemate1-datasheet-2022-05.pdf","CCGM1A1-BGA324","","https://www.digikey.de/de/products/detail/cologne-chip/CCGM1A1-BGA324/16087879","",""
"U2","1","HX7027(SOT-23-3)","OLIMEX_IC-FP:SOT-23","SOT-23","","","","MCP809T-270I/TT","","","","Voltage Supervisor 2.7V SOT-23-3 - Microchip (alt: HX7027 via JLCPCB)"
"U3","1","NA(ZD25WQ16CSIGT(SOIC-8_208mils))","OLIMEX_IC-FP:SO-8_208mil","SOIC-8W","DNP","","","W25Q16JVSSIQ","","","ZD25WQ16CSIGT(SOIC-8_208mils)","DNP - SPI NOR Flash 16Mbit SOIC-8W - Winbond (alt: ZD25WQ16CSIGT via LCSC)"
"U4","1","NA(MCP120T-300I/TT(SOT-23-3))","OLIMEX_IC-FP:SOT-23","SOT-23","DNP","","","MCP120T-300I/TT","","","","DNP - Voltage Supervisor 3.0V SOT-23 - Microchip"
"U5,U6","2","TXB0108PWR(TSSOP-20)","OLIMEX_IC-FP:TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm","TSSOP-20","","","https://www.ti.com/lit/ds/symlink/txb0108.pdf?ts=1777621802504&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTXB0108%253FkeyMatch%253DTXB0108PWR%2526tisearch%253Duniversal_search%2526usecase%253DOPN-ALT","TXB0108PWR ","595-TXB0108PWR ","https://www.mouser.de/ProductDetail/Texas-Instruments/TXB0108PWR?qs=oFXvjAmG9EgEUWGWzOVFCA%3D%3D","",""
"U7,U9","2","LY68S3200SLT(SOIC-8_150mil)","OLIMEX_IC-FP:SOIC-8_150mil","SOIC-8","","","LY68S3200SLT.pdf","IS66WVS4M8ALL-104NLI","","","","32Mbit SPI/QPI pSRAM SOIC-8 - ISSI (alt: Lyontek LY68S3200SLT)"
"U8","1","ZD25WQ16CSIGT(SOIC-8_208mils)","OLIMEX_IC-FP:SO-8_208mil","SOIC-8W","","","","W25Q16JVSSIQ","","","","SPI NOR Flash 16Mbit SOIC-8W - Winbond (alt: ZD25WQ16CSIGT via LCSC)"
"U10","1","RP2040(QFN-56_7x7mm_P0.4mm)","OLIMEX_IC-FP:QFN56_7x7_Pitch_0.4mm","QFN-56","","","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","SC0914(13) ","358-SC091413 ","https://www.mouser.de/ProductDetail/Raspberry-Pi/SC091413?qs=T%252BzbugeAwjhr%252BUbBr3TJcw%3D%3D","",""
"U11,U12,U13,U14,U15","5","TPS62A02ADRLR(SOT-563-6)","OLIMEX_Regulators-FP:SOT-563-6","SOT-563","","","https://www.ti.com/lit/ds/symlink/tps62a02a.pdf?ts=1709667174890&ref_url=https%253A%252F%252Fwww.ti.com%252Fpower-management%252Fnon-isolated-dc-dc-switching-regulators%252Fstep-down-buck%252Fproducts.html","TPS62A02ADRLR","595-TPS62A02ADRLR ","https://www.mouser.de/ProductDetail/Texas-Instruments/TPS62A02ADRLR?qs=By6Nw2ByBD27zXzxBxM12w%3D%3D","",""
"U16","1","TLV75801PDBV","Package_TO_SOT_SMD:SOT-23-5","SOT-23-5","DNP","","https://www.ti.com/lit/ds/symlink/tlv758p.pdf","TLV75801PDBVR","595-TLV75801PDBVR ","https://www.mouser.de/ProductDetail/Texas-Instruments/TLV75801PDBVR?qs=vLWxofP3U2xDujOQuzp8eQ%3D%3D","","500mA Low-Dropout Linear Regulator, Adjustable Output, SOT-23-5"
"U18","1","SiP32432DR3","Package_TO_SOT_SMD:SOT-363_SC-70-6","SC-70-6","DNP","","http://www.vishay.com.hk/docs/66597/sip32431.pdf","SIP32432DR3-T1GE3 ","78-SIP32432DR3-T1GE3 ","https://www.mouser.de/ProductDetail/Vishay-Semiconductors/SIP32432DR3-T1GE3?qs=wnTfsH77Xs7cPqcvWTHLUg%3D%3D","","10 pA, Ultra Low Leakage and Quiescent Current, Load Switch with Reverse Blocking, Low Enable, SC-70-6"
"UEXT1","1","P-B-V-10-LF","OLIMEX_Connectors-FP:GBH-254-SMT-10","SMT-Header-10P","","","","HTSS-105-01-T-DV","","","","SMT Box Header 2x5 2.54mm UEXT - Samtec (alt: OLIMEX P-B-V-10-LF)"
"USB-C1","1","USB-C-16P-F(A40-00119-A52-12)","OLIMEX_Connectors-FP:USB2.0_TYPE-C(A40-00119-A52-12)_Paste","USB-C-16P","","","https://gct.co/connector/usb4105","USB4105-GF-A","","","","USB Type-C Receptacle 16P SMD - GCT"
"USB-C2","1","USB-C-16P-F(A40-00119-A52-12)","New_Libary:USB2.0_TYPE-C(A40-00119-A52-12)_Paste","USB-C-16P","","","https://gct.co/connector/usb4105","USB4105-GF-A","","","","USB Type-C Receptacle 16P SMD - GCT"
"VDD_EB_SEL1,VDD_NA_SEL1,VDD_NB_SEL1","3","H-V33X-2x03-LF(1-2:Closed)","OLIMEX_Connectors-FP:GPH254SMT02x03(H-V33X-2X3-LF)","Header-2x3","","","","61000621121","","","","SMT Header 2x3 2.54mm - Wurth Elektronik (alt: OLIMEX H-V33X-2x03-LF)"
